business_code,cust_number,name_customer,clear_date,business_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
CA02,140105686,SYSC llc,2019-08-31 09:31:44.020200410,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,1970-01-01 00:00:00.020200410,1970-01-01 00:00:00.020200331,CA10,2309.7899999999995,64,,,,30,30,30,1,1,1,1,1,1,5,2687,
U001,200744019,TARG us,2019-09-03 16:17:04.020200403,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,1970-01-01 00:00:00.020200403,1970-01-01 00:00:00.020200319,NAA8,11173.02,64,,,,19,19,19,1,1,1,1,1,1,20,2770,
U001,200418007,AM ,2019-10-12 00:12:48.020200326,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,1970-01-01 00:00:00.020200326,1970-01-01 00:00:00.020200311,NAA8,3525.59,64,,,,11,11,11,1,1,1,1,1,1,20,91,
U001,200739534,OK systems,2019-09-13 00:46:56.020200430,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,1970-01-01 00:00:00.020200430,1970-01-01 00:00:00.020200415,NAA8,121105.65,64,,,,15,15,15,1,1,1,1,1,1,20,2004,
U001,200353024,DECA corporation,2019-09-12 03:18:24.020200426,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,1970-01-01 00:00:00.020200426,1970-01-01 00:00:00.020200416,NAM2,3726.06,64,,,,23,23,23,1,1,1,1,1,1,34,713,
U001,200744019,TARG associates,2019-09-08 04:39:28.020200405,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,1970-01-01 00:00:00.020200405,1970-01-01 00:00:00.020200321,NAA8,5893.01,64,,,,21,21,21,1,1,1,1,1,1,20,2761,
CA02,140106408,WAL-M corp,2019-08-03 01:16:48.020200316,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,1970-01-01 00:00:00.020200316,1970-01-01 00:00:00.020200306,CA10,64982.589,64,,,,6,6,6,1,1,1,1,1,1,5,2946,
U001,200337148,COAS llc,2019-09-20 09:40:16.020200317,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,1970-01-01 00:00:00.020200317,1970-01-01 00:00:00.020200302,NAA8,11380.83,64,,,,2,2,2,1,1,1,1,1,1,20,554,
U001,200794332,COST associates,2019-09-10 23:06:40.020200422,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,1970-01-01 00:00:00.020200422,1970-01-01 00:00:00.020200407,NAAX,3863.93,64,,,,7,7,7,1,1,1,1,1,1,22,612,
U001,200794332,COST llc,2019-08-31 00:19:12.020200508,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,1970-01-01 00:00:00.020200508,1970-01-01 00:00:00.020200423,NAAX,74453.01,64,,,,23,23,23,1,1,1,1,1,1,22,618,
U001,200803720,DEC corp,2019-08-22 09:40:16.020200408,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,1970-01-01 00:00:00.020200408,1970-01-01 00:00:00.020200316,NAM4,138.6,64,,,,25,25,25,1,1,1,1,1,1,36,701,
U001,200794332,COST co,2019-09-06 19:46:08.020200328,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,1970-01-01 00:00:00.020200328,1970-01-01 00:00:00.020200313,NAAX,32715.47,64,,,,13,13,13,1,1,1,1,1,1,22,613,
U001,200020431,DEC us,2019-10-12 09:48:48.020200524,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,1970-01-01 00:00:00.020200524,1970-01-01 00:00:00.020200501,NAM4,174.72,64,,,,6,6,6,1,1,1,1,1,1,36,708,
